"id","female","age","demcand","educ","ftobama","liberal","candideol","candgen"
588,1,33,3,3,89,4,63,0
589,0,25,1,3,35,3,53,1
590,1,55,3,1,97,3,63,0
591,1,41,3,3,6,3,63,0
592,1,58,1,2,89,3,53,1
594,0,43,3,2,50,5,63,0
595,1,60,2,3,0,1,25,0
598,0,22,1,3,89,5,53,1
599,0,60,1,1,100,3,53,1
601,1,66,1,4,91,3,53,1
602,1,72,3,5,88,4,63,0
604,1,42,1,5,100,3,53,1
605,1,61,3,3,40,3,63,0
607,0,45,3,3,71,3,63,0
609,0,38,3,2,91,1,63,0
610,1,34,1,2,60,1,53,1
612,0,33,1,2,100,5,53,1
613,1,24,3,3,73,5,63,0
614,1,58,1,1,100,3,53,1
615,1,62,1,2,99,3,53,1
616,1,73,1,1,100,4,53,1
617,0,62,1,4,52,3,53,1
618,1,43,1,3,96,5,53,1
620,0,27,3,2,80,4,63,0
621,0,41,1,1,0,3,53,1
622,0,33,3,5,92,5,63,0
625,1,51,3,2,5,3,63,0
626,0,76,3,2,10,2,63,0
627,0,38,3,3,15,3,63,0
631,0,43,3,4,18,3,63,0
632,0,28,3,4,13,5,63,0
636,0,21,1,2,88,5,53,1
640,0,43,1,2,75,2,53,1
642,0,23,1,3,100,3,53,1
643,0,58,1,2,70,2,53,1
644,0,43,3,2,2,1,63,0
645,1,37,3,4,4,2,63,0
646,1,49,1,6,95,4,53,1
648,1,38,1,3,84,5,53,1
649,1,61,1,5,81,3,53,1
650,1,62,3,3,89,5,63,0
651,1,46,1,4,90,3,53,1
654,0,40,1,6,70,3,53,1
655,0,66,3,2,17,3,63,0
656,1,69,1,1,91,4,53,1
657,1,44,1,2,100,4,53,1
658,1,76,3,2,8,1,63,0
661,1,21,1,2,100,1,53,1
662,0,44,1,5,4,1,53,1
663,1,65,1,2,50,2,53,1
664,0,26,3,3,75,3,63,0
665,1,56,3,5,42,4,63,0
667,1,25,3,3,33,3,63,0
668,1,56,1,2,81,4,53,1
669,1,28,1,5,96,3,53,1
671,0,59,1,2,91,3,53,1
672,1,43,1,2,99,4,53,1
674,0,28,3,5,0,3,63,0
675,1,41,1,5,69,4,53,1
676,1,82,1,6,89,3,53,1
677,0,69,1,2,99,5,53,1
678,1,27,1,3,91,3,53,1
679,1,36,1,2,31,1,53,1
682,1,58,3,1,67,3,63,0
683,1,53,1,1,99,5,53,1
684,0,63,3,6,80,4,63,0
685,1,25,3,2,100,4,63,0
686,0,39,1,2,8,3,53,1
687,0,31,1,2,86,3,53,1
689,1,50,1,1,96,4,53,1
691,0,26,3,3,99,5,63,0
692,0,62,1,4,86,3,53,1
694,0,59,3,3,13,4,63,0
695,0,62,1,4,93,3,53,1
697,1,26,1,3,76,2,53,1
699,0,43,2,3,0,3,25,0
702,0,49,1,2,74,3,53,1
703,1,20,1,5,70,4,53,1
704,1,35,3,4,77,5,63,0
705,0,38,1,3,67,2,53,1
706,0,65,1,5,94,3,53,1
707,1,37,1,2,88,3,53,1
708,0,39,1,3,54,2,53,1
712,0,49,3,4,31,5,63,0
713,0,64,2,5,39,3,25,0
714,1,25,3,3,32,4,63,0
715,0,36,1,2,30,4,53,1
716,0,60,3,3,32,4,63,0
718,1,21,1,2,75,3,53,1
720,1,52,1,2,100,3,53,1
722,0,53,1,2,88,4,53,1
725,1,26,3,3,97,2,63,0
729,0,57,3,4,62,3,63,0
730,1,25,1,2,97,5,53,1
731,1,32,3,5,19,3,63,0
733,0,27,1,3,26,2,53,1
